name;country_un_registery;users;purposes;orbit_class;perigee_km;apogee_km;inclination_deg;period_minutes;launch_mass_kg;launch_date;expected_lifetime_yrs;launch_site;launch_vehicle;operator;operatory_country
USA 235;USA;Military;Communications;GEO;35772;35801;2.34;1436.1;6169;03.05.2012;14;Cape Canaveral;Atlas 5;US Air Force;USA
Aeneas;USA;Government;Technology Development;LEO;480;790;0.02;97.4;3;13.09.2012;;Vandenberg AFB;Atlas 5;Department of Homeland Security;USA
Aeolus;;Government;Earth Observation;LEO;314;317;96.7;92.4;1367;22.08.2018;3;Guiana Space Center;Vega;European Space Agency (ESA);Multinational
Aerocube 10A;USA;Commercial;Technology Development;LEO;469;481;51.6;94.15;2;09.08.2019;;Cygnus;Nanorack Deployer;Aerospace Corporation;USA
Aerocube 10B;USA;Commercial;Technology Development;LEO;471;483;51.6;94.15;2;09.08.2019;;Cygnus;Nanorack Deployer;Aerospace Corporation;USA
Aerocube 11A;;Commercial;Technology Development;LEO;495;511;85.03;94.6;4;17.12.2018;;Rocket Lab Launch Complex 1;Electron;Aerospace Corporation;USA
Aerocube 11B;;Commercial;Technology Development;LEO;492;511;85.3;94.6;4;17.12.2018;;Rocket Lab Launch Complex 1;Electron;Aerospace Corporation;USA
Aerocube 12A;;Commercial;Technology Development;LEO;481;487;51.6;94.2;4;16.07.2018;;Cygnus;Nanorack Deployer;Aerospace Corporation;USA
Aerocube 12B;;Commercial;Technology Development;LEO;481;487;51.6;94.2;4;16.07.2018;;Cygnus;Nanorack Deployer;Aerospace Corporation;USA
Aerocube 14A;USA;Military;Technology Development;LEO;459;474;51.6;93.9;;31.01.2020;;Cygnus;Nanorack Deployer;Aerospace Corporation;USA
Aerocube 14B;USA;Military;Technology Development;LEO;459;474;51.6;93.9;;31.01.2020;;Cygnus;Nanorack Deployer;Aerospace Corporation;USA
Aerocube 15A;USA;Military;Technology Development;LEO;458;474;51.6;93.9;;31.01.2020;;Cygnus;Nanorack Deployer;Aerospace Corporation;USA
Aerocube 5C;;Commercial;Technology Development;LEO;500;802;64.78;97.74;2;08.10.2015;;Vandenberg AFB;Atlas 5;Aerospace Corporation;USA
Aerocube 6A;;Commercial;Technology Development;LEO;614;700;97.98;97.88;5;19.06.2014;3;Dombarovsky Air Base;Dnepr;Aerospace Corporation;USA
Aerocube 6B;;Commercial;Technology Development;LEO;614;700;97.98;97.88;5;19.06.2014;3;Dombarovsky Air Base;Dnepr;Aerospace Corporation;USA
Aerocube 7A;;Commercial;Technology Development;LEO;500;802;64.6;97.4;2;08.10.2015;;Vandenberg AFB;Atlas 5;Aerospace Corporation;USA
Aerocube 8C;;Commercial;Technology Development;LEO;569;584;97.9;96.2;5;11.11.2016;;Vandenberg AFB;Atlas 5;Aerospace Corporation;USA
Aerocube 8D;;Commercial;Technology Development;LEO;572;584;98;96.23;2;11.11.2016;;Vandenberg AFB;Atlas 5;Aerospace Corporation;USA
Eutelsat 48D;France;Commercial;Communications;GEO;35764;35808;0.12;1436.08;3460;20.12.2008;15;Guiana Space Center;Ariane 5;EUTELSAT S.A.;Multinational
AII-Bravo;Lithuania;Commercial;Communications;LEO;609;613;97.8;95.8;9;29.04.2021;;Guiana Space Center;Vega W18;Aurora Insight;Lithuania
AII-Charlie;;Commercial;Communications;LEO;522;535;97.5;95.2;9;24.01.2021;;Cape Canaveral;Falcon 9;Aurora Insight;Lithuania
AIM;USA;Government;Earth Observation;LEO;544;552;97.9;96.2;215;25.04.2007;2;Vandenberg AFB;Pegasus XL;Center for Atmospheric Sciences, Hampton University/NASA;USA
AISSat-1;Norway;Government;Communications;LEO;615;632;98;97.2;6;12.07.2010;3;Satish Dhawan Space Centre;PSLV;Norwegian Coastal Admnistration;Norway
AISSat-2;Norway;Government;Communications;LEO;625;631;98.4;97.27;6;08.07.2014;3;Baikonur Cosmodrome;Soyuz-2.1b;Norwegian Coastal Admnistration;Norway
AISTechSat-2;Spain;Commercial;Earth Observation;LEO;574;592;97.8;96.4;3;03.12.2018;;Vandenberg AFB;Falcon 9;AISTech;Spain
AISTechSat-3;Spain;Commercial;Earth Observation;LEO;490;506;97.5;94.6;2;01.04.2019;;Satish Dhawan Space Centre;PSLV;AISTech;Spain
Al Yah-3;Brazil;Commercial;Communications;GEO;35777;35796;0;1436;3795;25.01.2018;15;Guiana Space Center;Ariane 5;Al Yah Satellite Communications Co. (YAHSAT);United Arab Emirates
Alcomsat;Algeria;Government;Communications;GEO;35744;35798;0.04;1436.1;5225;10.12.2017;15;Xichang Satellite Launch Center;Long March 3B;Algerian Space Agency (ASAL);Algeria
ALE-2;;Commercial;Earth Science;LEO;397;414;97.01;92.06;75;06.12.2019;;Rocket Lab Launch Complex 1;Electron;Astro Live Experiences;Japan
Alfa Crux;;Civil;Technology Development;LEO;499;511;97.4;95;1;01.04.2022;;Cape Canaveral;Falcon 9;University of Brasilia;Brazil
Al-Farabi-2;;Civil;Technology Development;LEO;573;589;97.7;96.2;4;03.12.2018;;Vandenberg AFB;Falcon 9;Al-Farabi Kazakh National University;Kazakhstan
ALiCE;;Military;Technology Development;LEO;443;886;120.3;98;5;06.12.2013;;Vandenberg AFB;Atlas 5;US Air Force Institute of Technology;USA
Alsat-1B;Algeria;Government;Earth Observation;LEO;661;704;98.2;98.4;103;26.09.2016;5;Satish Dhawan Space Centre;PSLV;Algerian Space Agency (ASAL);Algeria
AlSat-1N;Algeria;Government;Technology Development;LEO;661;698;98.2;98.3;10;26.09.2016;;Satish Dhawan Space Centre;PSLV;Algerian Space Agency (ASAL)/UK Space Agency;Algeria
Alsat-2A;Algeria;Government;Earth Observation;LEO;672;674;98.1;98.2;130;12.07.2010;5;Satish Dhawan Space Centre;PSLV;Algerian Space Agency (ASAL);Algeria
Alsat-2B;Algeria;Government;Earth Observation;LEO;646;660;98.2;97.7;117;26.09.2016;5;Satish Dhawan Space Centre;PSLV;Algerian Space Agency (ASAL);Algeria
Amazonas-2;Brazil;Commercial;Communications;GEO;35767;35805;0.03;1436.08;5465;01.10.2009;15;Guiana Space Center;Ariane 5;Hispamar (subsidiary of Hispasat - Spain);Spain
Amazonas-3;Brazil;Commercial;Communications;GEO;35781;35791;0.03;1436.05;6265;07.02.2013;15;Guiana Space Center;Ariane 5 ECA;Hispamar (subsidiary of Hispasat - Spain);Spain
Amazonas-4A;;Commercial;Communications;GEO;35784;35795;0.08;1436.24;2938;22.03.2014;15;Guiana Space Center;Ariane 5 ECA;Hispamar (subsidiary of Hispasat - Spain);Spain
Amazonas-5;;Commercial;Communications;GEO;35785;35789;0.04;1436.11;5900;12.09.2017;15;Baikonur Cosmodrome;Proton;Hispamar (subsidiary of Hispasat - Spain);Spain
Amazonia-1;;Government;Earth Observation;LEO;761;764;98.5;99.9;637;28.02.2021;4;Satish Dhawan Space Centre;PSLV;National Institute for Space Research (INPE);Brazil
AMC-1;USA;Commercial;Communications;GEO;35772;35800;0.03;1436.1;2783;08.09.1996;15;Cape Canaveral;Atlas 2A;SES S.A.;USA
AMC-11;USA;Commercial;Communications;GEO;35774;35797;0.04;1436.07;2340;19.05.2004;15;Cape Canaveral;Atlas 2AS;SES S.A.;USA
AMC-15;USA;Commercial;Communications;GEO;35777;35795;0.04;1436.08;4200;14.10.2004;15;Baikonur Cosmodrome;Proton M;SES S.A.;USA
AMC-18;USA;Commercial;Communications;GEO;35773;35800;0.06;1436.1;2081;08.12.2006;15;Guiana Space Center;Ariane 5;SES S.A.;USA
AMC-21;United Kingdom;Commercial;Communications;GEO;35778;35793;3;1436.1;2500;14.08.2008;15;Guiana Space Center;Ariane 5 ECA;SES S.A.;USA
AMC-4;USA;Commercial;Communications;GEO;35781;35791;0.01;1436.1;3909;13.11.1999;15;Guiana Space Center;Ariane 44LP;SES S.A./Gogo;USA
AMC-6;USA;Commercial;Communications;GEO;35778;35795;0.05;1436.12;3901;22.10.2000;15;Baikonur Cosmodrome;Proton K;SES S.A.;USA
AMC-8;USA;Commercial;Communications;GEO;35773;35798;0.03;1436.07;2015;19.12.2000;15;Guiana Space Center;Ariane 5G;SES S.A.;USA
AmGU-1;Russia;Civil;Space Science;LEO;514;547;97.5;95.2;4;05.07.2019;;Vostochny Cosmodrome;Soyuz-2.1b;Moscow State University;Russia
Amos 17;;Military/Commercial;Communications;GEO;35777;35793;0;1436.04;6500;06.08.2019;20;Cape Canaveral;Falcon 9;Space-Communication Ltd.;Israel
Amos 3;;Military/Commercial;Communications;GEO;35783;35789;0.04;1436.1;;28.04.2008;12;Baikonur Cosmodrome;Zenit 3SLB;Space-Communication Ltd.;Israel
Amos 4;;Military/Commercial;Communications;GEO;35633;35796;0.01;1432;;31.08.2013;12;Baikonur Cosmodrome;Zenit 2SB;Space-Communication Ltd.;Israel
Amsat-Oscar 7;USA;Civil;Communications;LEO;1440;1459;101.4;114.9;29;15.11.1974;;Vandenberg AFB;Delta 2310;AMSAT-NA;USA
ANASIS-II;;Military;Communications;GEO;35781;35792;0.01;1436.1;;20.07.2020;15;Cape Canaveral;Falcon 9;Agency for Defense Development;South Korea
ANDESITE Mule;USA;Civil;Space Science/Technology Demonstration;LEO;582;600;97.7;96.5;9;13.06.2020;;Rocket Lab Launch Complex 1;Electron;ANDESITE - Boston University;USA
ANGELS;France;Government;Communications;LEO;509;524;97.4;94.9;18;18.12.2019;;Guiana Space Center;Soyuz;Centre National d'Etudes Spatiales (CNES);Multinational
Angosat-2;;Government;Communications;LEO;35782;35791;0.02;;2150;12.10.2022;;Baikonur Cosmodrome;Proton;AngoSat;Angola
Anik F1;Canada;Commercial;Communications;GEO;35778;35793;0.02;1436.08;4710;21.11.2000;15;Guiana Space Center;Ariane 44L;Telesat Canada Ltd. (BCE, Inc.);Canada
Anik F1R;Canada;Commercial;Communications;GEO;35777;35795;0.02;1436.1;4500;09.09.2005;15;Baikonur Cosmodrome;Proton M;Telesat Canada Ltd. (BCE, Inc.);Canada
Anik F2;Canada;Commercial;Communications;GEO;35781;35790;0.01;1436.08;5910;18.07.2004;15;Guiana Space Center;Ariane 5;Telesat Canada Ltd. (BCE, Inc.);Canada
Anik F3;Canada;Commercial;Communications;GEO;35778;35794;0.01;1436.1;4715;09.04.2007;15;Baikonur Cosmodrome;Proton M;Telesat Canada Ltd. (BCE, Inc.);Canada
Anik G1;;Commercial;Communications;GEO;35773;35799;0.01;1436.08;4905;15.04.2013;15;Baikonur Cosmodrome;Proton M;Telesat Canada Ltd. (BCE, Inc.);Canada
AprizeSat 1;USA;Commercial;Communications/Technology Development;LEO;696;764;98;99.4;12;29.06.2004;;Baikonur Cosmodrome;Dnepr;Aprize Satellite, Argentina;Argentina
AprizeSat 10;;Commercial;Communications/Maritime Tracking;LEO;613;733;97.9;98;12;19.06.2014;;Dombarovsky Air Base;Dnepr;Aprize Satellite, Argentina;Argentina
AprizeSat 2;USA;Commercial;Communications/Technology Development;LEO;694;850;98.2;100.3;12;29.06.2004;;Baikonur Cosmodrome;Dnepr;Aprize Satellite, Argentina;Argentina
AprizeSat 3;USA;Commercial;Communications/Maritime Tracking;LEO;559;662;98.18;97;12;29.07.2009;;Baikonur Cosmodrome;Dnepr;Aprize Satellite, Argentina;Argentina
AprizeSat 4;USA;Commercial;Communications/Maritime Tracking;LEO;604;674;98.1;97.5;12;29.07.2009;;Baikonur Cosmodrome;Dnepr;Aprize Satellite, Argentina;Argentina
AprizeSat 5;USA;Commercial;Communications;LEO;610;694;98.2;97.8;12;17.08.2011;;Dombarovsky Air Base;Dnepr;Aprize Satellite, Argentina;Argentina
AprizeSat 7;USA;Commercial;Communications;LEO;594;653;97.8;97.17;12;21.11.2013;;Dombarovsky Air Base;Dnepr;Aprize Satellite, Argentina;Argentina
AprizeSat 8;;Commercial;Communications/Maritime Tracking;LEO;594;669;97.8;97.99;12;21.11.2013;;Dombarovsky Air Base;Dnepr;Aprize Satellite, Argentina;Multinational
AprizeSat 9;;Commercial;Communications/Maritime Tracking;LEO;613;715;97.9;98;12;19.06.2014;;Dombarovsky Air Base;Dnepr;exactEarth;Canada
Apstar 6C;China;Commercial;Communications;GEO;35783;35790;0.05;1436.1;;03.05.2018;15;Xichang Satellite Launch Center;Long March 3B;APT Satellite Holdings Ltd.;China
Apstar 6D;China;Commercial;Communications;GEO;35785;35885;0.01;1438.5;5550;09.07.2020;15;Xichang Satellite Launch Center;Long March 3B;APT Satellite Holdings Ltd.;China
Apstar 7;China;Commercial;Communications;GEO;35864;35874;0.03;1440.31;5054;31.03.2012;15;Xichang Satellite Launch Center;Long March 3B;APT Satellite Holdings Ltd.;China
Apstar 9;China;Commercial;Communications;GEO;35782;35788;0.12;1436.01;5200;16.10.2015;15;Xichang Satellite Launch Center;Long March 3B;APT Satellite Holdings Ltd.;China
Arabsat 5C;;Government;Communications;GEO;35766;35805;0.06;1436.06;4630;21.09.2011;15;Guiana Space Center;Ariane 5 ECA;Arab Satellite Communications Org. (ASCO);Multinational
Arabsat 6A;;Commercial;Communications;GEO;35774;35811;0.01;1436;6465;11.04.2019;15;Cape Canaveral;Falcon Heavy;Arab Satellite Communications Org. (ASCO);Multinational
ARCE 1A;USA;Civil;Technology Development;LEO;526;535;97.5;95.2;1;24.01.2021;;Cape Canaveral;Falcon 9/Sherpa FX;University of South Florida, Institute of Applied Engineering (IAE).;USA
ARCE 1B;USA;Civil;Technology Development;LEO;522;536;97.5;95.2;1;24.01.2021;;Cape Canaveral;Falcon 9/Sherpa FX;University of South Florida, Institute of Applied Engineering (IAE).;USA
ARCE 1C;USA;Civil;Technology Development;LEO;522;536;97.5;95.2;1;24.01.2021;;Cape Canaveral;Falcon 9/Sherpa FX;University of South Florida, Institute of Applied Engineering (IAE).;USA
ARCSAT;;Military;Technology Demonstration;LEO;499;510;97.4;95;10;01.04.2022;;Cape Canaveral;Falcon 9;Norwegian Defence Research Establishment;Norway
ARICA;;Civil;Technology Development;LEO;547;572;97.6;95;1;08.11.2021;;Uchinoura Space Center;H2A;Aoyama Gakuin University in Tokyo;Japan
Arktika-M1;Russia;Government;Earth Observation;ELL;1025;39754;63.3;717.8;2200;28.02.2021;7;Baikonur Cosmodrome;Soyuz-2.1b;Naval Physical and Oceanographic Laboratory;Russia
Arkyd-6A;USA;Commercial;Technology Development;LEO;493;505;97.5;94.5;10;11.01.2018;;Satish Dhawan Space Centre;PSLV;Planetary Resources;USA
ArSat 1;Argentina;Commercial;Communications;GEO;35778;35795;0.01;1436.07;3000;16.10.2014;15;Guiana Space Center;Ariane 5 ECA;ArSat;Argentina
ArSat 2;Argentina;Commercial;Communications;GEO;35786;35801;0.01;1436.06;2977;30.09.2015;15;Guiana Space Center;Ariane 5 ECA;ArSat;Argentina
Arthur;;Commercial;Earth Observation;LEO;512;535;97.5;95.1;20;30.06.2021;;Cape Canaveral;Falcon 9;Aerospacelab;Belgium
ASELSAT;;Civil;Earth Observation;LEO;522;536;97.5;95.2;5;24.01.2021;;Cape Canaveral;Falcon 9;Istanbul Technical  University;Turkey
AsiaSat-5;China;Commercial;Communications;GEO;35778;35795;0;1436.11;3760;11.08.2009;15;Baikonur Cosmodrome;Breeze M;Asia Satellite Telecommunications Co. Ltd.;China
AsiaSat-6;China;Commercial;Communications;GEO;35783;35793;0.07;1436.17;3700;07.09.2014;15;Cape Canaveral;Falcon 9;Asia Satellite Telecommunications Co. Ltd.;China
AsiaSat-7;China;Commercial;Communications;GEO;35782;35793;0.02;1436.17;3813;25.11.2011;15;Baikonur Cosmodrome;Proton M;Asia Satellite Telecommunications Co. Ltd.;China
AsiaSat-8;China;Commercial;Communications;GEO;35781;35793;0.07;1436.1;4500;05.08.2014;15;Cape Canaveral;Falcon 9;Asia Satellite Telecommunications Co. Ltd.;China
AsiaSat-9;China;Commercial;Communications;GEO;35783;35790;0.02;1436.1;6140;28.09.2017;15;Baikonur Cosmodrome;Proton;Asia Satellite Telecommunications Co. Ltd.;China
AsiaStar;USA;Commercial;Communications;GEO;35773;35801;0.02;1436.15;2775;21.03.2000;15;Guiana Space Center;Ariane 5G;1Worldspace;USA
ASNARO-1;Japan;Government;Earth Observation;LEO;506;507;97.48;94.75;500;06.11.2014;3;Dombarovsky Air Base;Dnepr;Japan Space Systems;Japan
ASNARO-2;Japan;Government;Earth Observation;LEO;493;505;97.3;94.5;570;17.01.2018;3;Uchinoura Space Center;Epsilon;Japan Space Systems;Japan
ASTERISC;;Civil;Technology Development;LEO;556;573;97.6;94.5;4;08.11.2021;;Uchinoura Space Center;H2A;Chiba Institute of Technology;Japan
Astra 1G;Luxembourg;Commercial;Communications;GEO;35780;35791;0.04;1436.08;3379;02.12.1997;15;Baikonur Cosmodrome;Proton K;SES S.A.;Luxembourg
Astra 1KR;Luxembourg;Commercial;Communications;GEO;35766;35807;0.08;1436.1;4332;20.04.2006;15;Cape Canaveral;Atlas 5;SES S.A.;Luxembourg
Astra 1L;Luxembourg;Commercial;Communications;GEO;35772;35798;0.05;1436.03;4500;04.05.2007;15;Guiana Space Center;Ariane 5 ECA;SES S.A.;Luxembourg
Astra 1M;Luxembourg;Commercial;Communications;GEO;35804;35852;0.14;1438.2;5345;05.11.2008;15;Baikonur Cosmodrome;Proton M;SES S.A.;Luxembourg
Astra 1N;Luxembourg;Commercial;Communications;GEO;35715;35780;0.12;1434.1;5350;06.08.2011;15;Guiana Space Center;Ariane 5 ECA;SES S.A.;Luxembourg
Astra 2A;Luxembourg;Commercial;Communications;GEO;35776;35797;0.08;1436.12;3635;30.08.1998;15;Baikonur Cosmodrome;Proton K;SES S.A.;Luxembourg
Astra 2C;Luxembourg;Commercial;Communications;GEO;35768;35804;0.07;1436.12;3643;16.06.2001;15;Baikonur Cosmodrome;Proton K;SES S.A.;Luxembourg
Astra 2D;Luxembourg;Commercial;Communications;GEO;35770;35802;0.07;1436.1;1420;19.12.2000;15;Guiana Space Center;Ariane 5G;SES S.A.;Luxembourg
Astra 2E;Luxembourg;Commercial;Communications;GEO;35781;35793;0.11;1436.12;6052;29.09.2013;15;Baikonur Cosmodrome;Proton M;SES S.A.;Luxembourg
Astra 2F;Luxembourg;Commercial;Communications;GEO;35777;35795;0.06;1436.07;6000;28.09.2012;15;Guiana Space Center;Ariane 5 ECA;SES S.A.;Luxembourg
Astra 2G;Luxembourg;Commercial;Communications;GEO;35785;35789;0.09;1436.11;6000;27.12.2014;15;Baikonur Cosmodrome;Proton M;SES S.A.;Luxembourg
Astra 3A;Luxembourg;Commercial;Communications;GEO;35770;35804;0.06;1436.07;1500;29.03.2002;10;Guiana Space Center;Ariane 44L;SES S.A.;Luxembourg
Astra 3B;Luxembourg;Commercial;Communications;GEO;35768;35806;0.08;1436.11;5471;21.05.2010;15;Guiana Space Center;Ariane 5 ECA;SES S.A.;Luxembourg
Astra 5B;Luxembourg;Commercial;Communications;GEO;35787;35793;0.05;1436.26;5724;22.03.2014;15;Guiana Space Center;Ariane 5 ECA;SES S.A.;Luxembourg
Astranis Demosat-2;USA;Commercial;Technology Development;LEO;494;505;97.5;94.5;;11.01.2018;;Satish Dhawan Space Centre;PSLV;Astranis;USA
Astrocast-0101 ;;Commercial;Communications;LEO;521;534;97.5;94.6;4;24.01.2021;;Cape Canaveral;Falcon 9/Sherpa FX;Astrocast;Switzerland
Astrocast-0102 ;;Commercial;Communications;LEO;523;535;97.5;94.6;4;24.01.2021;;Cape Canaveral;Falcon 9/Sherpa FX;Astrocast;Switzerland
Astrocast-0103 ;;Commercial;Communications;LEO;522;536;97.5;94.6;4;24.01.2021;;Cape Canaveral;Falcon 9/Sherpa FX;Astrocast;Switzerland
Astrocast-0104 ;;Commercial;Communications;LEO;524;537;97.5;94.5;4;24.01.2021;;Cape Canaveral;Falcon 9/Sherpa FX;Astrocast;Switzerland
Astrocast-0105 ;;Commercial;Communications;LEO;526;535;97.5;94.5;4;24.01.2021;;Cape Canaveral;Falcon 9/Sherpa FX;Astrocast;Switzerland
Astrocast-0201 ;;Commercial;Communications;LEO;512;535;97.5;95.1;4;30.06.2021;;Cape Canaveral;Falcon 9;Astrocast;Switzerland
Astrocast-0202   ;;Commercial;Communications;LEO;511;536;97.5;95;4;30.06.2021;;Cape Canaveral;Falcon 9;Astrocast;Switzerland
Astrocast-0203;;Commercial;Communications;LEO;511;536;97.5;95;4;30.06.2021;;Cape Canaveral;Falcon 9;Astrocast;Switzerland
Astrocast-0204 ;;Commercial;Communications;LEO;513;536;97.5;95.1;4;30.06.2021;;Cape Canaveral;Falcon 9;Astrocast;Switzerland
Astrocast-0205 ;;Commercial;Communications;LEO;513;535;97.5;95;4;30.06.2021;;Cape Canaveral;Falcon 9;Astrocast;Switzerland
Astrosat;;Government;Space Science;LEO;632;649;5.99;97.54;230;28.09.2015;5;Satish Dhawan Space Centre;PSLV C-30;Telemetry Tracking and Command Network (ISTRAC) Centre;India
AT&T T16;USA;Commercial;Communications;GEO;35653;36757;0.02;1436.07;6350;20.06.2019;15;Guiana Space Center;Ariane 5;DirecTV, Inc.;USA
Athena;USA;Commercial;Communications;LEO;516;524;97.4;94.5;138;02.09.2020;;Guiana Space Center;Vega;PointView Tech;USA
Athena-Fidus;France;Government/Military;Communications;GEO;35784;35788;0.05;1436.06;3080;06.02.2014;15;Guiana Space Center;Ariane 5 ECA;Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI);Multinational
Athenoxat-1;;Commercial;Technology Development;LEO;532;550;14.98;95.46;6;16.12.2015;;Satish Dhawan Space Centre;PSLV-C29;Microspace Rapid Pvt Ltd.;Singapore
Azerspace 1/Africasat-1a;Azerbaijan;Government;Communications;GEO;35778;35794;0.04;1436.08;3250;07.02.2013;15;Guiana Space Center;Ariane 5 ECA;Azercosmos;Azerbaijan
Azerspace 2/Intelsat-38;Azerbaijan;Government;Communications;GEO;35750;35750;0.02;1436.1;3500;25.09.2018;15;Guiana Space Center;Ariane 5 ECA;Azercosmos;Azerbaijan
Badr 4;;Government;Communications;GEO;35780;35791;0.07;1436.06;3304;08.11.2006;15;Baikonur Cosmodrome;Proton M;Arab Satellite Communications Org. (ASCO);Multinational
Badr 5;;Government;Communications;GEO;35834;35883;0.06;1439.76;5420;03.06.2010;15;Baikonur Cosmodrome;Proton;Arab Satellite Communications Org. (ASCO);Multinational
Badr 5A;;Government;Communications;GEO;35605;35623;0.03;1427.27;4940;26.06.2010;15;Guiana Space Center;Ariane 5 ECA;Arab Satellite Communications Org. (ASCO);Multinational
Badr 6;;Government;Communications;GEO;35768;35805;0.05;1436.1;3400;07.07.2008;15;Guiana Space Center;Ariane 5 ECA;Arab Satellite Communications Org. (ASCO);Multinational
Badr 7;;Government;Communications;GEO;35768;35817;0.1;1436;5500;10.11.2015;15;Guiana Space Center;Ariane 5;Arab Satellite Communications Org. (ASCO);Multinational
Bangabandhu 1;;Government;Communications;GEO;35778;35793;0;1436.06;3500;11.05.2018;15;Cape Canaveral;Falcon 9;Bangladesh Telecommunication Regulatory Commission (BTRC);Bangladesh
Baoyun;;Civil;Unknown;LEO;472;502;97.4;95;20;06.12.2021;;Jiuquan Satellite Launch Center;Ceres 1;Tianyi Research Institute;China
Cosmos 2503;Russia;Military;Earth Observation;LEO;570;586;97.7;96.1;4000;27.02.2015;5;Plesetsk Cosmodrome;Soyuz-2.1b;Ministry of Defense;Russia
Cosmos 2515;Russia;Military;Earth Observation;LEO;549;594;97.62;96.1;4000;24.03.2016;5;Plesetsk Cosmodrome;Soyuz-2.1a;Ministry of Defense;Russia
Cosmos 2556;;Military;Earth Observation;LEO;337;556;97.7;94.6;3700;19.05.2022;5;Plesetsk Cosmodrome;Soyuz-2.1a;Ministry of Defense;Russia
BDSAGR-1;;Commercial;Earth Observation;LEO;613;634;97.9;97.1;40;21.12.2019;3;Taiyuan Launch Center;Long March 4B;GasTianta and GZH-HNJ BDS AGR Co., Ltd.;China
BDSAT;;Government;Technology Demonstration;LEO;497;509;97.4;97;1;01.04.2022;;Cape Canaveral;Falcon 9;Central European Institute of Technology;Czech Republic
